Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
  2171 3133105   Itanhandu                       
  2172 3133204   Itanhomi                        
  2173 3133303   Itaobim                         
  2174 3133402   Itapagipe                       
  2175 3133501   Itapecerica                     
  2176 3133600   Itapeva                         
  2177 3133709   Itatiaiuçu                      
  2178 3133758   Itaú de Minas                   
  2179 3133907   Itaverava                       
  2180 3134004   Itinga                          
  2181 3134103   Itueta                          
  2182 3134301   Itumirim                        
  2183 3134509   Itutinga                        
  2184 3134608   Jaboticatubas                   
  2185 3134707   Jacinto                         
  2186 3134806   Jacuí                           
  2187 3134905   Jacutinga                       
  2188 3135001   Jaguaraçu                       
  2189 3135076   Jampruca                        
  2190 3135308   Japaraíba                       
  2191 3135357   Japonvar                        
  2192 3135407   Jeceaba                         
  2193 3135456   Jenipapo de Minas               
  2194 3135506   Jequeri                         
  2195 3135605   Jequitaí                        
  2196 3135704   Jequitibá                       
  2197 3135803   Jequitinhonha                   
  2198 3135902   Jesuânia                        
  2199 3136009   Joaíma                          
  2200 3136108   Joanésia                        
  2201 3136405   Joaquim Felício                 
  2202 3136504   Jordânia                        
  2203 3136520   José Gonçalves de Minas         
  2204 3136553   José Raydan                     
  2205 3136579   Josenópolis                     
  2206 3136603   Nova União                      
  2207 3136652   Juatuba                         
  2208 3136801   Juramento                       
  2209 3136900   Juruaia                         
  2210 3136959   Juvenília                       
  2211 3137007   Ladainha                        
  2212 3137106   Lagamar                         
  2213 3137304   Lagoa dos Patos                 
  2214 3137403   Lagoa Dourada                   
  2215 3137502   Lagoa Formosa                   
  2216 3137536   Lagoa Grande                    
  2217 3137700   Lajinha                         
  2218 3137809   Lambari                         
  2219 3137908   Lamim                           
  2220 3138005   Laranjal                        
  2221 3138104   Lassance                        
  2222 3138302   Leandro Ferreira                
  2223 3138351   Leme do Prado                   
  2224 3138500   Liberdade                       
  2225 3138609   Lima Duarte                     
  2226 3138625   Limeira do Oeste                
  2227 3138658   Lontra                          
  2228 3138674   Luisburgo                       
  2229 3138682   Luislândia                      
  2230 3138708   Luminárias                      
  2231 3138807   Luz                             
  2232 3138906   Machacalis                      
  2233 3139102   Madre de Deus de Minas          
  2234 3139201   Malacacheta                     
  2235 3139250   Mamonas                         
  2236 3139300   Manga                           
  2237 3139508   Manhumirim                      
  2238 3139706   Maravilhas                      
  2239 3139805   Mar de Espanha                  
  2240 3139904   Maria da Fé                     
  2241 3140100   Marilac                         
  2242 3140159   Mário Campos                    
  2243 3140209   Maripá de Minas                 
  2244 3140308   Marliéria                       
  2245 3140407   Marmelópolis                    
  2246 3140506   Martinho Campos                 
  2247 3140530   Martins Soares                  
  2248 3140555   Mata Verde                      
  2249 3140605   Materlândia                     
  2250 3140803   Matias Barbosa                  
  2251 3140852   Matias Cardoso                  
  2252 3140902   Matipó                          
  2253 3141009   Mato Verde                      
  2254 3141108   Matozinhos                      
  2255 3141207   Matutina                        
  2256 3141306   Medeiros                        
  2257 3141405   Medina                          
  2258 3141504   Mendes Pimentel                 
  2259 3141603   Mercês                          
  2260 3141702   Mesquita                        
  2261 3141801   Minas Novas                     
  2262 3141900   Minduri                         
  2263 3142007   Mirabela                        
  2264 3142106   Miradouro                       
  2265 3142205   Miraí                           
  2266 3142254   Miravânia                       
  2267 3142304   Moeda                           
  2268 3142403   Moema                           
  2269 3142502   Monjolos                        
  2270 3142601   Monsenhor Paulo                 
  2271 3142700   Montalvânia                     
  2272 3142809   Monte Alegre de Minas           
  2273 3142908   Monte Azul                      
  2274 3143005   Monte Belo                      
  2275 3143153   Monte Formoso                   
  2276 3143203   Monte Santo de Minas            
  2277 3143401   Monte Sião                      
  2278 3143450   Montezuma                       
  2279 3143500   Morada Nova de Minas            
  2280 3143609   Morro da Garça                  
  2281 3143708   Morro do Pilar                  
  2282 3143807   Munhoz                          
  2283 3144102   Muzambinho                      
  2284 3144201   Nacip Raydan                    
  2285 3144359   Naque                           
  2286 3144375   Natalândia                      
  2287 3144409   Natércia                        
  2288 3144508   Nazareno                        
  2289 3144607   Nepomuceno                      
  2290 3144656   Ninheira                        
  2291 3144672   Nova Belém                      
  2292 3144706   Nova Era                        
  2293 3144904   Nova Módica                     
  2294 3145000   Nova Ponte                      
  2295 3145059   Nova Porteirinha                
  2296 3145109   Nova Resende                    
  2297 3145307   Novo Cruzeiro                   
  2298 3145356   Novo Oriente de Minas           
  2299 3145372   Novorizonte                     
  2300 3145406   Olaria                          
  2301 3145455   Olhos-d'Água                    
  2302 3145505   Olímpio Noronha                 
  2303 3145703   Oliveira Fortes                 
  2304 3145802   Onça de Pitangui                
  2305 3145851   Oratórios                       
  2306 3145877   Orizânia                        
  2307 3146206   Ouro Verde de Minas             
  2308 3146255   Padre Carvalho                  
  2309 3146305   Padre Paraíso                   
  2310 3146404   Paineiras                       
  2311 3146503   Pains                           
  2312 3146552   Pai Pedro                       
  2313 3146602   Paiva                           
  2314 3146701   Palma                           
  2315 3146750   Palmópolis                      
  2316 3146909   Papagaios                       
  2317 3147204   Paraguaçu                       
  2318 3147303   Paraisópolis                    
  2319 3147402   Paraopeba                       
  2320 3147501   Passabém                        
  2321 3147600   Passa Quatro                    
  2322 3147709   Passa Tempo                     
  2323 3147808   Passa-Vinte                     
  2324 3147956   Patis                           
  2325 3148202   Patrocínio do Muriaé            
  2326 3148301   Paula Cândido                   
  2327 3148400   Paulistas                       
  2328 3148509   Pavão                           
  2329 3148608   Peçanha                         
  2330 3148707   Pedra Azul                      
  2331 3148756   Pedra Bonita                    
  2332 3148806   Pedra do Anta                   
  2333 3148905   Pedra do Indaiá                 
  2334 3149002   Pedra Dourada                   
  2335 3149101   Pedralva                        
  2336 3149150   Pedras de Maria da Cruz         
  2337 3149200   Pedrinópolis                    
  2338 3149408   Pedro Teixeira                  
  2339 3149507   Pequeri                         
  2340 3149606   Pequi                           
  2341 3149705   Perdigão                        
  2342 3149804   Perdizes                        
  2343 3149903   Perdões                         
  2344 3149952   Periquito                       
  2345 3150000   Pescador                        
  2346 3150109   Piau                            
  2347 3150158   Piedade de Caratinga            
  2348 3150208   Piedade de Ponte Nova           
  2349 3150307   Piedade do Rio Grande           
  2350 3150406   Piedade dos Gerais              
  2351 3150505   Pimenta                         
  2352 3150539   Pingo-d'Água                    
  2353 3150570   Pintópolis                      
  2354 3150604   Piracema                        
  2355 3150703   Pirajuba                        
  2356 3150802   Piranga                         
  2357 3150901   Piranguçu                       
  2358 3151008   Piranguinho                     
  2359 3151107   Pirapetinga                     
  2360 3151305   Piraúba                         
  2361 3151404   Pitangui                        
  2362 3151602   Planura                         
  2363 3151701   Poço Fundo                      
  2364 3151909   Pocrane                         
  2365 3152006   Pompéu                          
  2366 3152131   Ponto Chique                    
  2367 3152170   Ponto dos Volantes              
  2368 3152303   Porto Firme                     
  2369 3152402   Poté                            
  2370 3152600   Pouso Alto                      
  2371 3152709   Prados                          
  2372 3152808   Prata                           
  2373 3152907   Pratápolis                      
  2374 3153004   Pratinha                        
  2375 3153103   Presidente Bernardes            
  2376 3153202   Presidente Juscelino            
  2377 3153301   Presidente Kubitschek           
  2378 3153400   Presidente Olegário             
  2379 3153509   Alto Jequitibá                  
  2380 3153608   Prudente de Morais              
  2381 3153707   Quartel Geral                   
  2382 3153806   Queluzito                       
  2383 3153905   Raposos                         
  2384 3154002   Raul Soares                     
  2385 3154101   Recreio                         
  2386 3154150   Reduto                          
  2387 3154200   Resende Costa                   
  2388 3154309   Resplendor                      
  2389 3154408   Ressaquinha                     
  2390 3154457   Riachinho                       
  2391 3154507   Riacho dos Machados             
  2392 3154705   Ribeirão Vermelho               
  2393 3154804   Rio Acima                       
  2394 3154903   Rio Casca                       
  2395 3155009   Rio Doce                        
  2396 3155108   Rio do Prado                    
  2397 3155207   Rio Espera                      
  2398 3155306   Rio Manso                       
  2399 3155405   Rio Novo                        
  2400 3155504   Rio Paranaíba                   
  2401 3155603   Rio Pardo de Minas              
  2402 3155702   Rio Piracicaba                  
  2403 3155801   Rio Pomba                       
  2404 3155900   Rio Preto                       
  2405 3156007   Rio Vermelho                    
  2406 3156106   Ritápolis                       
  2407 3156205   Rochedo de Minas                
  2408 3156304   Rodeiro                         
  2409 3156403   Romaria                         
  2410 3156452   Rosário da Limeira              
  2411 3156502   Rubelita                        
  2412 3156601   Rubim                           
  2413 3156809   Sabinópolis                     
  2414 3156908   Sacramento                      
  2415 3157104   Salto da Divisa                 
  2416 3157203   Santa Bárbara                   
  2417 3157252   Santa Bárbara do Leste          
  2418 3157278   Santa Bárbara do Monte Verde    
  2419 3157302   Santa Bárbara do Tugúrio        
  2420 3157336   Santa Cruz de Minas             
  2421 3157377   Santa Cruz de Salinas           
  2422 3157401   Santa Cruz do Escalvado         
  2423 3157500   Santa Efigênia de Minas         
  2424 3157609   Santa Fé de Minas               
  2425 3157658   Santa Helena de Minas           
  2426 3157708   Santa Juliana                   
  2427 3157906   Santa Margarida                 
  2428 3158003   Santa Maria de Itabira          
  2429 3158102   Santa Maria do Salto            
  2430 3158201   Santa Maria do Suaçuí           
  2431 3158300   Santana da Vargem               
  2432 3158409   Santana de Cataguases           
  2433 3158508   Santana de Pirapama             
  2434 3158607   Santana do Deserto              
  2435 3158706   Santana do Garambéu             
  2436 3158805   Santana do Jacaré               
  2437 3158904   Santana do Manhuaçu             
  2438 3158953   Santana do Paraíso              
  2439 3159001   Santana do Riacho               
  2440 3159100   Santana dos Montes              
  2441 3159209   Santa Rita de Caldas            
  2442 3159308   Santa Rita de Jacutinga         
  2443 3159357   Santa Rita de Minas             
  2444 3159407   Santa Rita de Ibitipoca         
  2445 3159506   Santa Rita do Itueto            
  2446 3159704   Santa Rosa da Serra             
  2447 3159803   Santa Vitória                   
  2448 3159902   Santo Antônio do Amparo         
  2449 3160009   Santo Antônio do Aventureiro    
  2450 3160108   Santo Antônio do Grama          
  2451 3160207   Santo Antônio do Itambé         
  2452 3160306   Santo Antônio do Jacinto        
  2453 3160454   Santo Antônio do Retiro         
  2454 3160504   Santo Antônio do Rio Abaixo     
  2455 3160603   Santo Hipólito                  
  2456 3160801   São Bento Abade                 
  2457 3160900   São Brás do Suaçuí              
  2458 3160959   São Domingos das Dores          
  2459 3161007   São Domingos do Prata           
  2460 3161056   São Félix de Minas              
  2461 3161205   São Francisco de Paula          
  2462 3161304   São Francisco de Sales          
  2463 3161403   São Francisco do Glória         
  2464 3161502   São Geraldo                     
  2465 3161601   São Geraldo da Piedade          
  2466 3161650   São Geraldo do Baixio           
  2467 3161700   São Gonçalo do Abaeté           
  2468 3161809   São Gonçalo do Pará             
  2469 3161908   São Gonçalo do Rio Abaixo       
  2470 3162005   São Gonçalo do Sapucaí          
  2471 3162203   São João Batista do Glória      
  2472 3162252   São João da Lagoa               
  2473 3162302   São João da Mata                
  2474 3162401   São João da Ponte               
  2475 3162450   São João das Missões            
  2476 3162559   São João do Manhuaçu            
  2477 3162575   São João do Manteninha          
  2478 3162609   São João do Oriente             
  2479 3162658   São João do Pacuí               
  2480 3162708   São João do Paraíso             
  2481 3162807   São João Evangelista            
  2482 3162906   São João Nepomuceno             
  2483 3162922   São Joaquim de Bicas            
  2484 3162948   São José da Barra               
  2485 3162955   São José da Lapa                
  2486 3163003   São José da Safira              
  2487 3163102   São José da Varginha            
  2488 3163201   São José do Alegre              
  2489 3163300   São José do Divino              
  2490 3163409   São José do Goiabal             
  2491 3163508   São José do Jacuri              
  2492 3163607   São José do Mantimento          
  2493 3163805   São Miguel do Anta              
  2494 3163904   São Pedro da União              
  2495 3164001   São Pedro dos Ferros            
  2496 3164100   São Pedro do Suaçuí             
  2497 3164209   São Romão                       
  2498 3164308   São Roque de Minas              
  2499 3164407   São Sebastião da Bela Vista     
  2500 3164431   São Sebastião da Vargem Alegre  
  2501 3164472   São Sebastião do Anta           
  2502 3164506   São Sebastião do Maranhão       
  2503 3164605   São Sebastião do Oeste          
  2504 3164803   São Sebastião do Rio Preto      
  2505 3164902   São Sebastião do Rio Verde      
  2506 3165008   São Tiago                       
  2507 3165107   São Tomás de Aquino             
  2508 3165206   São Thomé das Letras            
  2509 3165305   São Vicente de Minas            
  2510 3165404   Sapucaí-Mirim                   
  2511 3165503   Sardoá                          
  2512 3165537   Sarzedo                         
  2513 3165552   Setubinha                       
  2514 3165560   Sem-Peixe                       
  2515 3165578   Senador Amaral                  
  2516 3165602   Senador Cortes                  
  2517 3165701   Senador Firmino                 
  2518 3165800   Senador José Bento              
  2519 3165909   Senador Modestino Gonçalves     
  2520 3166006   Senhora de Oliveira             
  2521 3166105   Senhora do Porto                
  2522 3166204   Senhora dos Remédios            
  2523 3166303   Sericita                        
  2524 3166402   Seritinga                       
  2525 3166501   Serra Azul de Minas             
  2526 3166600   Serra da Saudade                
  2527 3166709   Serra dos Aimorés               
  2528 3166808   Serra do Salitre                
  2529 3166907   Serrania                        
  2530 3166956   Serranópolis de Minas           
  2531 3167004   Serranos                        
  2532 3167103   Serro                           
  2533 3167301   Silveirânia                     
  2534 3167400   Silvianópolis                   
  2535 3167509   Simão Pereira                   
  2536 3167608   Simonésia                       
  2537 3167707   Sobrália                        
  2538 3167806   Soledade de Minas               
  2539 3167905   Tabuleiro                       
  2540 3168051   Taparuba                        
  2541 3168101   Tapira                          
  2542 3168200   Tapiraí                         
  2543 3168309   Taquaraçu de Minas              
  2544 3168408   Tarumirim                       
  2545 3168507   Teixeiras                       
  2546 3168804   Tiradentes                      
  2547 3168903   Tiros                           
  2548 3169000   Tocantins                       
  2549 3169059   Tocos do Moji                   
  2550 3169109   Toledo                          
  2551 3169208   Tombos                          
  2552 3169356   Três Marias                     
  2553 3169505   Tumiritinga                     
  2554 3169703   Turmalina                       
  2555 3169802   Turvolândia                     
  2556 3170008   Ubaí                            
  2557 3170057   Ubaporanga                      
  2558 3170305   Umburatiba                      
  2559 3170438   União de Minas                  
  2560 3170479   Uruana de Minas                 
  2561 3170503   Urucânia                        
  2562 3170529   Urucuia                         
  2563 3170578   Vargem Alegre                   
  2564 3170602   Vargem Bonita                   
  2565 3170651   Vargem Grande do Rio Pardo      
  2566 3170750   Varjão de Minas                 
  2567 3170909   Varzelândia                     
  2568 3171006   Vazante                         
  2569 3171030   Verdelândia                     
  2570 3171071   Veredinha                       
  2571 3171105   Veríssimo                       
  2572 3171154   Vermelho Novo                   
  2573 3171402   Vieiras                         
  2574 3171501   Mathias Lobato                  
  2575 3171600   Virgem da Lapa                  
  2576 3171709   Virgínia                        
  2577 3171808   Virginópolis                    
  2578 3171907   Virgolândia                     
  2579 3172103   Volta Grande                    
  2580 3172202   Wenceslau Braz                  
  2581 3200136   Águia Branca                    
  2582 3200169   Água Doce do Norte              
  2583 3200300   Alfredo Chaves                  
  2584 3200359   Alto Rio Novo                   
  2585 3200409   Anchieta                        
  2586 3200508   Apiacá                          
  2587 3200706   Atilio Vivacqua                 
  2588 3201001   Boa Esperança                   
  2589 3201100   Bom Jesus do Norte              
  2590 3201159   Brejetuba                       
  2591 3201704   Conceição do Castelo            
  2592 3201803   Divino de São Lourenço          
  2593 3202009   Dores do Rio Preto              
  2594 3202108   Ecoporanga                      
  2595 3202207   Fundão                          
  2596 3202256   Governador Lindenberg           
  2597 3202454   Ibatiba                         
  2598 3202504   Ibiraçu                         
  2599 3202553   Ibitirama                       
  2600 3202603   Iconha                          
  2601 3202652   Irupi                           
  2602 3202702   Itaguaçu                        
  2603 3202900   Itarana                         
  2604 3203056   Jaguaré                         
  2605 3203106   Jerônimo Monteiro               
  2606 3203130   João Neiva                      
  2607 3203163   Laranja da Terra                
  2608 3203304   Mantenópolis                    
  2609 3203346   Marechal Floriano               
  2610 3203353   Marilândia                      
  2611 3203403   Mimoso do Sul                   
  2612 3203502   Montanha                        
  2613 3203601   Mucurici                        
  2614 3203700   Muniz Freire                    
  2615 3203809   Muqui                           
  2616 3204005   Pancas                          
  2617 3204054   Pedro Canário                   
  2618 3204104   Pinheiros                       
  2619 3204203   Piúma                           
  2620 3204252   Ponto Belo                      
  2621 3204302   Presidente Kennedy              
  2622 3204351   Rio Bananal                     
  2623 3204401   Rio Novo do Sul                 
  2624 3204500   Santa Leopoldina                
  2625 3204609   Santa Teresa                    
  2626 3204658   São Domingos do Norte           
  2627 3204807   São José do Calçado             
  2628 3204955   São Roque do Canaã              
  2629 3205010   Sooretama                       
  2630 3205036   Vargem Alta                     
  2631 3205069   Venda Nova do Imigrante         
  2632 3205150   Vila Pavão                      
  2633 3205176   Vila Valério                    
  2634 3300159   Aperibé                         
  2635 3300225   Areal                           
  2636 3300258   Arraial do Cabo                 
  2637 3300506   Bom Jardim                      
  2638 3300902   Cambuci                         
  2639 3300936   Carapebus                       
  2640 3300951   Comendador Levy Gasparian       
  2641 3301108   Cantagalo                       
  2642 3301157   Cardoso Moreira                 
  2643 3301207   Carmo                           
  2644 3301405   Conceição de Macabu             
  2645 3301504   Cordeiro                        
  2646 3301603   Duas Barras                     
  2647 3301801   Engenheiro Paulo de Frontin     
  2648 3301876   Iguaba Grande                   
  2649 3302056   Italva                          
  2650 3302106   Itaocara                        
  2651 3302254   Itatiaia                        
  2652 3302304   Laje do Muriaé                  
  2653 3302452   Macuco                          
  2654 3302809   Mendes                          
  2655 3302908   Miguel Pereira                  
  2656 3303005   Miracema                        
  2657 3303104   Natividade                      
  2658 3303856   Paty do Alferes                 
  2659 3303955   Pinheiral                       
  2660 3304003   Piraí                           
  2661 3304102   Porciúncula                     
  2662 3304110   Porto Real                      
  2663 3304128   Quatis                          
  2664 3304151   Quissamã                        
  2665 3304409   Rio Claro                       
  2666 3304508   Rio das Flores                  
  2667 3304607   Santa Maria Madalena            
  2668 3305000   São João da Barra               
  2669 3305133   São José de Ubá                 
  2670 3305158   São José do Vale do Rio Preto   
  2671 3305307   São Sebastião do Alto           
  2672 3305406   Sapucaia                        
  2673 3305604   Silva Jardim                    
  2674 3305703   Sumidouro                       
  2675 3305752   Tanguá                          
  2676 3305901   Trajano de Morais               
  2677 3306156   Varre-Sai                       
  2678 3500204   Adolfo                          
  2679 3500303   Aguaí                           
  2680 3500402   Águas da Prata                  
  2681 3500501   Águas de Lindóia                
  2682 3500550   Águas de Santa Bárbara          
  2683 3500600   Águas de São Pedro              
  2684 3500758   Alambari                        
  2685 3500808   Alfredo Marcondes               
  2686 3500907   Altair                          
  2687 3501004   Altinópolis                     
  2688 3501103   Alto Alegre                     
  2689 3501152   Alumínio                        
  2690 3501202   Álvares Florence                
  2691 3501301   Álvares Machado                 
  2692 3501400   Álvaro de Carvalho              
  2693 3501509   Alvinlândia                     
  2694 3501806   Américo de Campos               
  2695 3502002   Analândia                       
  2696 3502200   Angatuba                        
  2697 3502309   Anhembi                         
  2698 3502408   Anhumas                         
  2699 3502606   Aparecida d'Oeste               
  2700 3502705   Apiaí                           
  2701 3502754   Araçariguama                    
  2702 3502903   Araçoiaba da Serra              
  2703 3503000   Aramina                         
  2704 3503109   Arandu                          
  2705 3503158   Arapeí                          
  2706 3503356   Arco-Íris                       
  2707 3503406   Arealva                         
  2708 3503505   Areias                          
  2709 3503604   Areiópolis                      
  2710 3503703   Ariranha                        
  2711 3503950   Aspásia                         
  2712 3504206   Auriflama                       
  2713 3504305   Avaí                            
  2714 3504404   Avanhandava                     
  2715 3504602   Bady Bassitt                    
  2716 3504701   Balbinos                        
  2717 3504800   Bálsamo                         
  2718 3504909   Bananal                         
  2719 3505005   Barão de Antonina               
  2720 3505104   Barbosa                         
  2721 3505351   Barra do Chapéu                 
  2722 3505401   Barra do Turvo                  
  2723 3505807   Bastos                          
  2724 3506201   Bento de Abreu                  
  2725 3506300   Bernardino de Campos            
  2726 3506409   Bilac                           
  2727 3506607   Biritiba-Mirim                  
  2728 3506706   Boa Esperança do Sul            
  2729 3506805   Bocaina                         
  2730 3506904   Bofete                          
  2731 3507100   Bom Jesus dos Perdões           
  2732 3507159   Bom Sucesso de Itararé          
  2733 3507209   Borá                            
  2734 3507308   Boracéia                        
  2735 3507407   Borborema                       
  2736 3507456   Borebi                          
  2737 3507704   Braúna                          
  2738 3507753   Brejo Alegre                    
  2739 3507803   Brodowski                       
  2740 3507902   Brotas                          
  2741 3508009   Buri                            
  2742 3508108   Buritama                        
  2743 3508207   Buritizal                       
  2744 3508306   Cabrália Paulista               
  2745 3508603   Cachoeira Paulista              
  2746 3508702   Caconde                         
  2747 3508801   Cafelândia                      
  2748 3508900   Caiabu                          
  2749 3509106   Caiuá                           
  2750 3509254   Cajati                          
  2751 3509304   Cajobi                          
  2752 3509403   Cajuru                          
  2753 3509452   Campina do Monte Alegre         
  2754 3509809   Campos Novos Paulista           
  2755 3509908   Cananéia                        
  2756 3509957   Canas                           
  2757 3510005   Cândido Mota                    
  2758 3510104   Cândido Rodrigues               
  2759 3510153   Canitar                         
  2760 3510302   Capela do Alto                  
  2761 3510708   Cardoso                         
  2762 3510906   Cássia dos Coqueiros            
  2763 3511003   Castilho                        
  2764 3511201   Catiguá                         
  2765 3511300   Cedral                          
  2766 3511409   Cerqueira César                 
  2767 3511607   Cesário Lange                   
  2768 3511706   Charqueada                      
  2769 3511904   Clementina                      
  2770 3512001   Colina                          
  2771 3512100   Colômbia                        
  2772 3512209   Conchal                         
  2773 3512308   Conchas                         
  2774 3512407   Cordeirópolis                   
  2775 3512506   Coroados                        
  2776 3512605   Coronel Macedo                  
  2777 3512704   Corumbataí                      
  2778 3512902   Cosmorama                       
  2779 3513207   Cristais Paulista               
  2780 3513306   Cruzália                        
  2781 3513603   Cunha                           
  2782 3513850   Dirce Reis                      
  2783 3513900   Divinolândia                    
  2784 3514007   Dobrada                         
  2785 3514106   Dois Córregos                   
  2786 3514205   Dolcinópolis                    
  2787 3514304   Dourado                         
  2788 3514502   Duartina                        
  2789 3514601   Dumont                          
  2790 3514700   Echaporã                        
  2791 3514809   Eldorado                        
  2792 3514908   Elias Fausto                    
  2793 3514924   Elisiário                       
  2794 3514957   Embaúba                         
  2795 3515129   Emilianópolis                   
  2796 3515152   Engenheiro Coelho               
  2797 3515194   Espírito Santo do Turvo         
  2798 3515202   Estrela d'Oeste                 
  2799 3515301   Estrela do Norte                
  2800 3515350   Euclides da Cunha Paulista      
  2801 3515400   Fartura                         
  2802 3515608   Fernando Prestes                
  2803 3515657   Fernão                          
  2804 3515806   Flora Rica                      
  2805 3515905   Floreal                         
  2806 3516002   Flórida Paulista                
  2807 3516101   Florínia                        
  2808 3516507   Gabriel Monteiro                
  2809 3516606   Gália                           
  2810 3516804   Gastão Vidigal                  
  2811 3516853   Gavião Peixoto                  
  2812 3516903   General Salgado                 
  2813 3517000   Getulina                        
  2814 3517109   Glicério                        
  2815 3517208   Guaiçara                        
  2816 3517307   Guaimbê                         
  2817 3517505   Guapiaçu                        
  2818 3517604   Guapiara                        
  2819 3517703   Guará                           
  2820 3517802   Guaraçaí                        
  2821 3517901   Guaraci                         
  2822 3518008   Guarani d'Oeste                 
  2823 3518107   Guarantã                        
  2824 3518305   Guararema                       
  2825 3518503   Guareí                          
  2826 3518859   Guatapará                       
  2827 3518909   Guzolândia                      
  2828 3519006   Herculândia                     
  2829 3519055   Holambra                        
  2830 3519105   Iacanga                         
  2831 3519204   Iacri                           
  2832 3519253   Iaras                           
  2833 3519303   Ibaté                           
  2834 3519402   Ibirá                           
  2835 3519501   Ibirarema                       
  2836 3519808   Icém                            
  2837 3519907   Iepê                            
  2838 3520004   Igaraçu do Tietê                
  2839 3520103   Igarapava                       
  2840 3520202   Igaratá                         
  2841 3520301   Iguape                          
  2842 3520400   Ilhabela                        
  2843 3520426   Ilha Comprida                   
  2844 3520442   Ilha Solteira                   
  2845 3520608   Indiana                         
  2846 3520707   Indiaporã                       
  2847 3520806   Inúbia Paulista                 
  2848 3520905   Ipaussu                         
  2849 3521002   Iperó                           
  2850 3521101   Ipeúna                          
  2851 3521150   Ipiguá                          
  2852 3521200   Iporanga                        
  2853 3521309   Ipuã                            
  2854 3521408   Iracemápolis                    
  2855 3521507   Irapuã                          
  2856 3521606   Irapuru                         
  2857 3521705   Itaberá                         
  2858 3521804   Itaí                            
  2859 3521903   Itajobi                         
  2860 3522000   Itaju                           
  2861 3522158   Itaóca                          
  2862 3522653   Itapirapuã Paulista             
  2863 3522802   Itaporanga                      
  2864 3522901   Itapuí                          
  2865 3523008   Itapura                         
  2866 3523503   Itatinga                        
  2867 3523602   Itirapina                       
  2868 3523701   Itirapuã                        
  2869 3523800   Itobi                           
  2870 3524204   Jaborandi                       
  2871 3524501   Jaci                            
  2872 3524600   Jacupiranga                     
  2873 3524907   Jambeiro                        
  2874 3525201   Jarinu                          
  2875 3525409   Jeriquara                       
  2876 3525508   Joanópolis                      
  2877 3525607   João Ramalho                    
  2878 3525805   Júlio Mesquita                  
  2879 3525854   Jumirim                         
  2880 3526001   Junqueirópolis                  
  2881 3526100   Juquiá                          
  2882 3526209   Juquitiba                       
  2883 3526308   Lagoinha                        
  2884 3526407   Laranjal Paulista               
  2885 3526506   Lavínia                         
  2886 3526605   Lavrinhas                       
  2887 3527009   Lindóia                         
  2888 3527256   Lourdes                         
  2889 3527405   Lucélia                         
  2890 3527504   Lucianópolis                    
  2891 3527603   Luís Antônio                    
  2892 3527702   Luiziânia                       
  2893 3527801   Lupércio                        
  2894 3527900   Lutécia                         
  2895 3528007   Macatuba                        
  2896 3528106   Macaubal                        
  2897 3528205   Macedônia                       
  2898 3528304   Magda                           
  2899 3528601   Manduri                         
  2900 3528700   Marabá Paulista                 
  2901 3528809   Maracaí                         
  2902 3528858   Marapoama                       
  2903 3528908   Mariápolis                      
  2904 3529104   Marinópolis                     
  2905 3529203   Martinópolis                    
  2906 3529500   Mendonça                        
  2907 3529609   Meridiano                       
  2908 3529658   Mesópolis                       
  2909 3529708   Miguelópolis                    
  2910 3529807   Mineiros do Tietê               
  2911 3529906   Miracatu                        
  2912 3530003   Mira Estrela                    
  2913 3530102   Mirandópolis                    
  2914 3530201   Mirante do Paranapanema         
  2915 3530409   Mirassolândia                   
  2916 3530904   Mombuca                         
  2917 3531001   Monções                         
  2918 3531209   Monte Alegre do Sul             
  2919 3531407   Monte Aprazível                 
  2920 3531506   Monte Azul Paulista             
  2921 3531605   Monte Castelo                   
  2922 3531704   Monteiro Lobato                 
  2923 3531902   Morro Agudo                     
  2924 3532009   Morungaba                       
  2925 3532058   Motuca                          
  2926 3532108   Murutinga do Sul                
  2927 3532157   Nantes                          
  2928 3532207   Narandiba                       
  2929 3532306   Natividade da Serra             
  2930 3532405   Nazaré Paulista                 
  2931 3532504   Neves Paulista                  
  2932 3532603   Nhandeara                       
  2933 3532702   Nipoã                           
  2934 3532801   Nova Aliança                    
  2935 3532827   Nova Campina                    
  2936 3532843   Nova Canaã Paulista             
  2937 3532868   Nova Castilho                   
  2938 3532900   Nova Europa                     
  2939 3533007   Nova Granada                    
  2940 3533106   Nova Guataporanga               
  2941 3533205   Nova Independência              
  2942 3533254   Novais                          
  2943 3533304   Nova Luzitânia                  
  2944 3533601   Nuporanga                       
  2945 3533700   Ocauçu                          
  2946 3533809   Óleo                            
  2947 3534005   Onda Verde                      
  2948 3534104   Oriente                         
  2949 3534203   Orindiúva                       
  2950 3534500   Oscar Bressane                  
  2951 3534757   Ouroeste                        
  2952 3534807   Ouro Verde                      
  2953 3534906   Pacaembu                        
  2954 3535002   Palestina                       
  2955 3535101   Palmares Paulista               
  2956 3535200   Palmeira d'Oeste                
  2957 3535309   Palmital                        
  2958 3535408   Panorama                        
  2959 3535606   Paraibuna                       
  2960 3535705   Paraíso                         
  2961 3535804   Paranapanema                    
  2962 3535903   Paranapuã                       
  2963 3536000   Parapuã                         
  2964 3536109   Pardinho                        
  2965 3536208   Pariquera-Açu                   
  2966 3536257   Parisi                          
  2967 3536307   Patrocínio Paulista             
